chunk_id,source,title,field,text
StatPearls_8_0,StatPearls,"Biochemistry, C Peptide -- Clinical Significance -- Pearls",clinical_guideline,"Biochemistry, C Peptide -- Clinical Significance -- Pearls. C-peptide is secreted in equimolar concentrations with insulin from the beta cells. It is a valid measure of insulin secretion especially following challenges with glucagon or a mixed meal. C-peptide is extremely useful in the differential diagnosis of hyperinsulinemic-hypoglycemia."
StatPearls_9_0,StatPearls,Adrenal Insufficiency (Nursing) -- Causes,clinical_guideline,"Adrenal Insufficiency (Nursing) -- Causes. The most common cause of primary adrenal insufficiency relates to autoimmune damage to the adrenal cortex. Other insults to the adrenal gland that lead to primary insufficiency include adrenal hemorrhage, cancer, infections (HIV, syphilis, TB, bacterial), and certain drugs such as etomidate, ketoconazole, fluconazole, metyrapone. Phenytoin and rifampin increase the metabolism of cortisol and can, therefore, precipitate adrenal insufficiency in those predisposed. Adrenal hemorrhage can occur in patients on anticoagulation medications or a bleeding diathesis, or in the postoperative setting."
StatPearls_10_0,StatPearls,"Histology, Bone -- Function",clinical_guideline,"Histology, Bone -- Function. There are three main functions of the human skeletal system classified into the mechanical, formation of hematopoietic cells, and metabolism. [4]"
StatPearls_11_0,StatPearls,"Histology, Male Urethra -- Structure",clinical_guideline,"Histology, Male Urethra -- Structure. Membranous urethra Location: Begins immediately outside of the prostate and ends just prior to entering the bulb of the penis. Gross Features: Passes through the deep perineal pouch, the external urethral sphincter, and the perineal membrane. Bulbourethral (Cowper) glands lie just posterior to this portion - typically 1 to 1.5 cm in length. Histological Features: The urothelium changes into pseudostratified columnar epithelium. Thick layers of skeletal muscle is present at the level of the external urethral sphincter. Bulbourethral glands may be seen in a cross-section view."
StatPearls_12_0,StatPearls,Duodenal Ulcer -- Review Questions,clinical_guideline,Duodenal Ulcer -- Review Questions. Access free multiple choice questions on this topic. Click here for a simplified version. Comment on this article.
StatPearls_13_0,StatPearls,Endocrine-Related Adverse Events From Immune Checkpoint Inhibitors  -- Pathophysiology,clinical_guideline,"Endocrine-Related Adverse Events From Immune Checkpoint Inhibitors  -- Pathophysiology. The exact pathogenic mechanism of ICI-induced endocrine-related IrAEs is not well understood. However, overstimulation of T cells by ICIs can lead to reactive autoimmunity in cells that express the same receptors as cancer cells."
StatPearls_14_0,StatPearls,Caudal Anesthesia -- Clinical Significance,clinical_guideline,"Caudal Anesthesia -- Clinical Significance. Caudal anesthesia is frequently used as the sole anesthetic technique in pediatric surgeries, which reduces the risks associated with general anesthesia. Caudal blocks have a high success rate, are generally safe, and carry a low risk of complications. Moreover, caudal anesthesia is linked to higher patient satisfaction due to enhanced postoperative pain relief. [4]"
StatPearls_15_0,StatPearls,"Anatomy, Abdomen and Pelvis: Bladder -- Clinical Significance",clinical_guideline,"Anatomy, Abdomen and Pelvis: Bladder -- Clinical Significance. The bladder is the cause of many medical conditions that present to various clinicians in the medical field. Bacterial infections are one of the most common causes of urinary tract infections. More than 7 million office visits in the United States are due to urinary tract infections (UTI). UTIs also result in more than 1 million emergency department visits. UTIs occur in both men and women, but women are at greater risk due to their shorter urethra. The increase in antibiotic resistance has also increased rates of pyelonephritis. [6] Typical causes of UTIs include incomplete bladder emptying, vesicoureteral reflux, urinary stones, neurogenic bladder, and poor personal hygienic practices."
StatPearls_16_0,StatPearls,Labyrinthectomy -- Contraindications,clinical_guideline,"Labyrinthectomy -- Contraindications. A successful labyrinthectomy procedure depends not only on the complete removal of diseased neuroepithelium from all five vestibular organs but also on the adequate central compensation to normal vestibular function on the opposite side. Therefore, preoperative vestibular testing is imperative to verify normal vestibular function in the non-operative ear. Preoperative counseling in patients undergoing labyrinthectomy for Meniere disease will need to consider the 10 to 40% possibility of future disease of the opposite ear despite normal function at the time of surgery. [5] [6]"
StatPearls_17_0,StatPearls,Ornithine Transcarbamylase Deficiency -- Evaluation,clinical_guideline,"Ornithine Transcarbamylase Deficiency -- Evaluation. When available, newborn screening (NBS) for OTCD relies on quantifying citrulline levels on dried blood spots. Supplementary testing involving a glutamine-to-glutamate ratio is recommended to identify individuals with a UCD. [2] Low citrulline levels and elevated glutamine levels on NBS are indicative of OTCD. However, due to the inherent instability of glutamine and the limited specificity and sensitivity of citrulline for OTCD, current consensus guidelines do not recommend routine NBS for OTCD. [6]"
StatPearls_18_0,StatPearls,Follicular Adenoma -- Evaluation,clinical_guideline,"Follicular Adenoma -- Evaluation. Serum Tg levels should not be measured in the initial workup of a thyroid nodule because has a low specificity rate in the general evaluation but should be monitored in selected cases (i.e. after total thyroidectomy). Laboratory screening for calcitonin is neither recommended nor inappropriate: serum calcitonin can be evaluated for screening purposes because it may detect incidentally C-cell hyperplasia or medullary thyroid cancer at an earlier stage, improving overall survival."
StatPearls_19_0,StatPearls,Angiotensin II Receptor Blockers (ARB) -- Mechanism of Action,clinical_guideline,"Angiotensin II Receptor Blockers (ARB) -- Mechanism of Action. RAAS system blockade can occur at multiple levels. RAAS blockers include direct renin inhibitors (DRIs), which inhibit renin production; ACEIs, which prevent the conversion of ATI to ATII; ARBs, which block the effects of ATII on AT1 receptors; and aldosterone antagonists, which inhibit aldosterone’s effects. [13] [14]"
StatPearls_20_0,StatPearls,Hepatic Cirrhosis -- History and Physical -- Others,clinical_guideline,"Hepatic Cirrhosis -- History and Physical -- Others. Fetor hepaticus (sweet, musty breath smell due to high levels of dimethyl sulfide and ketones in the blood) and asterixis (flapping tremor when the arms are extended and the hands are dorsiflexed) are both features of hepatic encephalopathy that can be seen in cirrhosis"
StatPearls_20_1,StatPearls,Hepatic Cirrhosis -- History and Physical -- Others,clinical_guideline,". [17] Cirrhosis can lead to hyperdynamic circulation, reduced lean muscle mass, muscle cramps, and umbilical herniation. Physical examination in patients with cirrhosis may reveal stigmata of chronic liver disease (spider telangiectasias, palmar erythema, Dupuytren contractures, gynecomastia, testicular atrophy), signs of portal hypertension (ascites, splenomegaly, caput medusae, Cruveilhier-Baumgarten murmur- epigastric venous hum), signs of hepatic encephalopathy (confusion, asterixis, and fetor hepaticus), and other features such as jaundice, bilateral parotid enlargement, and scant chest/axillary hair."
StatPearls_21_0,StatPearls,Neurothekeoma -- Histopathology,clinical_guideline,"Neurothekeoma -- Histopathology. Neurothekeomas are classified histologically as myxoid, cellular, or mixed, depending on the amount of myxoid matrix. [3] [4] [5] [6] [13] [6] The classical cellular neurothekeoma is a relatively circumscribed and lobular lesion in the dermis, although the lesion's periphery may have an infiltrative border. It typically comprises nests of epithelioid to slightly spindled tumor cells with a subtle whorling pattern. The tumor cells have relatively abundant eosinophilic cytoplasm and round to oval nuclei with small pinpoint nucleoli. [2] [4] [5] [7] [14] By immunohistochemistry, cellular neurothekeomas are typically positive for vimentin, NKI-C3 (CD63), CD10, and Mit-F, and focal reactivity is noted for smooth muscle actin and CD68"
StatPearls_21_1,StatPearls,Neurothekeoma -- Histopathology,clinical_guideline,". They are negative for S100, glial fibrillary acidic protein, and Melan A. [3] [14] [15]"
StatPearls_22_0,StatPearls,Cortical Blindness -- Differential Diagnosis,clinical_guideline,Cortical Blindness -- Differential Diagnosis. Differential diagnoses of cortical blindness are: Hemineglect Prosopagnosia Simultagnosia Malingering
StatPearls_23_0,StatPearls,Secondary Amenorrhea -- Treatment / Management,clinical_guideline,Secondary Amenorrhea -- Treatment / Management. Cervical stenosis is treated with cervical dilation. [27] [28]
StatPearls_24_0,StatPearls,Implantable Hearing Devices -- Anatomy and Physiology,clinical_guideline,"Implantable Hearing Devices -- Anatomy and Physiology. A cortical mastoidectomy with a facial recess approach is performed, and the electrode ray is carefully advanced into the scala vestibuli of the cochlea, most commonly via a round window or extended round window cochleostomy. The most common indication for cochlear implantation is severe to profound sensorineural hearing loss. Please reference the dedicated StatPearls chapter on Cochlear Implants for more information regarding cochlear implants."
StatPearls_25_0,StatPearls,HIV Antiretroviral Therapy -- Mechanism of Action -- Integrase Inhibitors,clinical_guideline,"HIV Antiretroviral Therapy -- Mechanism of Action -- Integrase Inhibitors. Integrase inhibitors block the action of integrase, preventing the viral genome from inserting itself into the DNA of a host cell."
StatPearls_26_0,StatPearls,Neonatal Therapeutic Hypothermia -- Complications,clinical_guideline,Neonatal Therapeutic Hypothermia -- Complications. Delayed gastric emptying causes intolerance of enteral feeds
StatPearls_27_0,StatPearls,"Histology, Glial Cells -- Clinical Significance",clinical_guideline,"Histology, Glial Cells -- Clinical Significance. Astrocytes can form scars following injury as they hypertrophy or divide to fill spaces resulting from cavitation of neural tissue. Astrocytes also assist microglia in the regulation of the immune response to pathological insult in the nervous system by secreting interleukin-1 (IL-1) and prostaglandins, among other factors. Astrogliosis can cause the release of inhibitory molecules that prevent nervous system recovery. However, its impairment correlates with defects in the blood-brain barrier. While reactive astrocytes are the predominant cell type involved in glial scar formation, microglia, and endothelial cells and fibroblasts also play a role."
StatPearls_28_0,StatPearls,Sertoli Cell–Only Syndrome -- Deterrence and Patient Education,clinical_guideline,"Sertoli Cell–Only Syndrome -- Deterrence and Patient Education. If no sperm can be retrieved by micro-TESE, then there is no chance."
StatPearls_29_0,StatPearls,Aluminum Toxicity -- Toxicokinetics -- Absorption,clinical_guideline,"Aluminum Toxicity -- Toxicokinetics -- Absorption. Aluminum exposure can occur IV through dialysate or TPN and through the gastrointestinal tract, where it is absorbed by the mucosa of the small intestines. Aluminum enters the bloodstream through 2 mechanisms—passive diffusion and active transport through transferrin-mediated mechanisms. Aluminum exposure through the respiratory tract (inhalation) and subsequent absorption of aluminum fumes occurs at approximately 1.5% to 2%. Aluminum found in inhaled dust can potentially stay in lung tissue indefinitely. [22]"
StatPearls_30_0,StatPearls,Onchocerciasis -- Toxicity and Adverse Effect Management,clinical_guideline,"Onchocerciasis -- Toxicity and Adverse Effect Management. In some patients infected with onchocerciasis, there is coinfection with Loa loa , another parasite that is predominantly seen in the west and central Africa, where Onchocerca volvulus also exists. [37] [38] Treatment with ivermectin in patients with this coinfection can cause severe life-threatening adverse effects, including encephalitic reaction as a result of the Loa loa infection contributing to the heavy burden of microfilariae. [37] [39]"
StatPearls_31_0,StatPearls,Agnosia -- Evaluation,clinical_guideline,"Agnosia -- Evaluation. Diagnosis is mainly clinical, based on the clinical history and physical examination, which includes a thorough neurologic exam, psychological exam, and certain standardized tests of brain function. It is important to ensure that the abnormality cannot be explained in another way, for example, genuine unfamiliarity with the stimuli, poor instructions, overlooked diseases like neuropathy and cataracts, or other neurologic conditions like dyspraxia or dysphasia. Various standardized tests are available to test for memory and cognition (MMSE, Montreal Cognitive Assessment, ADAS-cog) and aphasia (Boston Naming Test, Western Aphasia Battery). Diagnosis is supplemented by neuroimaging tests such as head CT and brain MRI to look for etiology"
StatPearls_31_1,StatPearls,Agnosia -- Evaluation,clinical_guideline,. Diagnosis is supplemented by neuroimaging tests such as head CT and brain MRI to look for etiology. More testing may be needed based on clinical judgment and suspected etiology. Auditory or visual evoked potentials may be used to determine whether a deficit exists in the sensory projection area instead of the primary sensory or association cortex .
StatPearls_32_0,StatPearls,Posner-Schlossman Syndrome -- Introduction,clinical_guideline,"Posner-Schlossman Syndrome -- Introduction. The clinical course of the disease tends to exhibit a variable pattern. Patients can have frequent attacks with shorter symptom-free intervals or less frequent attacks with more prolonged symptom-free intervals; in between episodes, patients tend to have a normal IOP. In either case, the symptoms are self-limiting, with spontaneous resolution occurring within days or weeks, even without treatment. [3] [8]"
StatPearls_33_0,StatPearls,Blood Glucose Monitoring -- Testing Procedures -- Capillary Blood Glucose (CBG) Testing,clinical_guideline,"Blood Glucose Monitoring -- Testing Procedures -- Capillary Blood Glucose (CBG) Testing. The machine normally provides a result at this stage unless there have been errors during collection; for example, insufficient sample, low battery, wrong code, or the machine times itself out. If an error displays on the glucometer, troubleshoot as appropriate. Wash hands and replace equipment in storage bag container. Note test results relative to diet, exercise, and medication use as appropriate. [16] [17] [15]"
StatPearls_34_0,StatPearls,Vemurafenib -- Contraindications -- Warning and Precautions,clinical_guideline,Vemurafenib -- Contraindications -- Warning and Precautions. Embryo-fetal toxicity: Vemurafenib may harm a developing fetus. Women of reproductive age should be advised to use effective contraception during treatment and for at least 2 weeks following the final dose.
StatPearls_35_0,StatPearls,Hamstring Injury -- Treatment / Management,clinical_guideline,"Hamstring Injury -- Treatment / Management. Grades I and II strains are generally managed nonoperatively with rest, ice packs, relative immobilization, and pain and inflammation management with NSAIDs and analgesics. This is followed by progressive stretching and strengthening. [21]  NSAIDs are given for no more than 5 to 7 days, and glucocorticoids are not recommended. [22]  Platelet-rich plasma (PRP) and other growth factors do not have enough evidence to prove their use. None of these growth factors meet the World Anti-Doping Agency (WADA) set guidelines, mainly because of the IGF-1 content of such preparations. [23] [24] In the first 3 to 5 days, the goal should be to control hemorrhage, edema, and pain"
StatPearls_35_1,StatPearls,Hamstring Injury -- Treatment / Management,clinical_guideline,". [23] [24] In the first 3 to 5 days, the goal should be to control hemorrhage, edema, and pain. After this, progressive ambulation assisted with crutches is initiated until pain-free walking is possible. Posture control mechanisms and pelvic alignment should be considered when managing hamstring injuries. [25]"
StatPearls_36_0,StatPearls,Facial Nerve Trauma -- Treatment / Management -- Mid and Lower Face,clinical_guideline,"Facial Nerve Trauma -- Treatment / Management -- Mid and Lower Face. In some situations, with awkward flap geometry, the superficial temporal vessels may be used instead of the facial artery and vein. The obturator nerve is then coapted to a donor nerve via primary neurorrhaphy, and the choice of nerve determines the characteristics of the flap's movement. The original description of the microneurovascular gracilis transfer by Harii in 1976 reported the use of the deep temporal nerves, but these are challenging to locate and use; in some cases, the residual facial nerve trunk may be employed, but the basal firing rate in this nerve is so high that it tends to cause excessive contracture of the muscle over time"
StatPearls_36_1,StatPearls,Facial Nerve Trauma -- Treatment / Management -- Mid and Lower Face,clinical_guideline,". [76] Currently, the most commonly employed donor nerves are the masseteric nerve and the cross-face nerve graft. Paralleling the foregoing discussion regarding nerve transfer, the use of the masseteric nerve to control a free gracilis muscle transfer provides more reliability (94%) and excursion (8.7 mm) than the use of a cross-face nerve graft (84% and 6.5 mm), although the cross face nerve graft provides a spontaneous smile without the need to clench the jaw as well as better smile symmetry. [49] The other drawback to cross-face grafting is that it requires a 2-stage procedure, with the cross-face graft placement (including sural nerve harvest and facial nerve exploration on the non-paralyzed side) preceding the gracilis transfer by 6 to 9 months."
StatPearls_37_0,StatPearls,Fosinopril -- Indications -- Off-Label Uses,clinical_guideline,"Fosinopril -- Indications -- Off-Label Uses. Fosinopril is utilized off-label for conditions such as acute myocardial infarction, diabetic nephropathy, and HIV-associated nephropathy. A fosinopril acute myocardial infarction study (FAMIS) demonstrated that early treatment with fosinopril benefits patients with acute myocardial infarction and prevents left ventricular (LV) remodeling. [5]"
StatPearls_38_0,StatPearls,Odontogenic Cysts -- Complications,clinical_guideline,"Odontogenic Cysts -- Complications. Paradental cysts are associated with pericoronitis, which is a deep periodontal pocket. This may damage the local periodontium as a consequence of the follicular expansion. Typically, they do not present with complications once removed, and they do not recur after excision. [5]"
StatPearls_39_0,StatPearls,"Physiology, Zero and First Order Kinetics -- Issues of Concern",clinical_guideline,"Physiology, Zero and First Order Kinetics -- Issues of Concern. To achieve the desired therapeutic level of a medication, a clinician must understand the elimination order and utilize the information in subsequent dosing to maintain the therapeutic concentration over a set period. Misunderstanding of kinetic elimination may lead to patients experiencing toxic symptoms and could lead to other iatrogenic adverse effects up to and including death."
StatPearls_40_0,StatPearls,Cirrhotic Cardiomyopathy -- Consultations,clinical_guideline,Cirrhotic Cardiomyopathy -- Consultations. Consultations with cardiology and gastroenterology specialists are often consulted to aid in the treatment of patients with CCM.
StatPearls_41_0,StatPearls,Pericarditis -- Epidemiology,clinical_guideline,"Pericarditis -- Epidemiology. Acute pericarditis is a prevalent form of pericardial disease and a common cause of chest pain. This condition often occurs in trauma patients, those with uremia, and individuals with malignant diseases, with a higher incidence in men. [21]"
StatPearls_42_0,StatPearls,Carbuncle -- Continuing Education Activity,clinical_guideline,"Carbuncle -- Continuing Education Activity. A carbuncle is an infection of the hair follicle(s) that extends into the surrounding skin and deep underlying subcutaneous tissue. They typically present as an erythematous, tender, inflamed, fluctuant nodule with multiple draining sinus tracts or pustules on the surface. Systemic symptoms are usually present, and regional lymphadenopathy may occur. This activity reviews the evaluation and treatment of carbuncles and highlights the role of the healthcare team in evaluating and treating patients with this condition."
StatPearls_43_0,StatPearls,Florida Controlled Substance Prescribing -- Pearls and Other Issues -- Standards,clinical_guideline,Florida Controlled Substance Prescribing -- Pearls and Other Issues -- Standards. Refer patients with signs or symptoms of substance abuse to an addiction or pain specialist and follow recommendations for ongoing care
StatPearls_44_0,StatPearls,Fitz-Hugh-Curtis Syndrome -- Review Questions,clinical_guideline,Fitz-Hugh-Curtis Syndrome -- Review Questions. Access free multiple choice questions on this topic. Click here for a simplified version. Comment on this article.
StatPearls_45_0,StatPearls,Glucagonoma -- Treatment / Management -- Somatostatin analogues,clinical_guideline,"Glucagonoma -- Treatment / Management -- Somatostatin analogues. Long-acting octreotide LAR and lanreotide depot are first-line treatments for functional glucagonoma, as they bind to somatostatin receptor subtypes 2 and 5 on pancreatic alpha cells, suppressing excessive glucagon secretion and reducing the negative effects of catabolic hormones. These therapies alleviate symptoms such as necrolytic migratory erythema, hyperglycemia, diarrhea, weight loss, and neuropsychiatric disturbances, with studies showing median progression-free survival of 14 to 20 months and biochemical response rates often exceeding 60%"
StatPearls_45_1,StatPearls,Glucagonoma -- Treatment / Management -- Somatostatin analogues,clinical_guideline,". For breakthrough symptoms, dose escalation or short-acting octreotide rescue injections can be utilized, and treatment is typically initiated in patients with low-volume metastatic disease or to stabilize biochemical markers before other interventions are considered. [15] [16]"
StatPearls_46_0,StatPearls,Bacteriuria -- Treatment / Management,clinical_guideline,"Bacteriuria -- Treatment / Management. Once an individual's culture susceptibility results are known, therapy should be modified to ensure an antibiotic with the narrowest spectrum to cover the organism(s) being treated is used while still obtaining appropriate penetration in the bladder and kidneys as necessary. If the patient also has a bloodstream infection due to the same organism as the UTI, a bactericidal antibiotic is preferred. It should have at least 90% oral bioavailability if an oral antibiotic is an appropriate option for both sites of infection. Any antibiotics requiring renal dosing should be evaluated based on the individual's creatinine clearance or estimated glomerular filtration rate"
StatPearls_46_1,StatPearls,Bacteriuria -- Treatment / Management,clinical_guideline,". Once the antibiotic has been de-escalated appropriately, one additional step should be taken to ensure antimicrobial stewardship practices are implemented."
StatPearls_47_0,StatPearls,Sildenafil -- Adverse Effects -- Warnings and Precautions,clinical_guideline,"Sildenafil -- Adverse Effects -- Warnings and Precautions. The use of sildenafil can infrequently result in a prolonged erection lasting more than 4 hours, also known as priapism, which, if left untreated, may result in damage to the penile tissue. Furthermore, sildenafil use requires caution in patients with anatomical deformation of the penis and patients with conditions potentially predisposing them to priapism, such as sickle cell anemia or multiple myeloma. [17]"
StatPearls_48_0,StatPearls,Acute ST-Segment Elevation Myocardial Infarction (STEMI) -- Evaluation -- Electrocardiogram,clinical_guideline,"Acute ST-Segment Elevation Myocardial Infarction (STEMI) -- Evaluation -- Electrocardiogram. Patients with suspected ACS are typically categorized into 2 main diagnostic groups based on the initial ECG findings. [18] Patients with acute chest pain or equivalent symptoms and persistent ST-segment elevation or its ECG equivalents are given a working diagnosis of STEMI. Most of these patients experience myocardial necrosis and elevated troponin levels, meeting the criteria for myocardial infarction, although not all will have a final diagnosis of STEMI. Patients with acute chest pain or equivalent symptoms without persistent ST-segment elevation or its ECG equivalents are categorized under non–ST-elevation ACS (NSTE-ACS)."
StatPearls_49_0,StatPearls,Tubo-Ovarian Abscess -- Treatment / Management -- Other Treatment Considerations,clinical_guideline,"Tubo-Ovarian Abscess -- Treatment / Management -- Other Treatment Considerations. Women should refrain from sexual activity until treatment is completed, symptoms have resolved, and partners are treated. Testing for STIs, including gonorrhea, chlamydia, HIV, and syphilis, is recommended, though the value of testing for M genitalium remains uncertain. Retesting for gonorrhea and chlamydia is advised 3 months posttreatment or at the next medical visit. [5]"
StatPearls_50_0,StatPearls,Stereotactic and Needle Breast Biopsy -- Equipment,clinical_guideline,"Stereotactic and Needle Breast Biopsy -- Equipment. Hand-held ultrasound machines in brightness mode produce images by intermittently transmitting ultrasonic waves through the probe and into a thin slice of tissue. The machine measures returning frequencies, amplitude, and time-to-return, and a series of mathematical calculations are performed and displayed as brightness levels on the monitor, usually in the form of an image. [19] Tissue composition, combined with the physical properties of the probe and technical factors, affects the image quality."
StatPearls_51_0,StatPearls,Electrophysiology Study and Ablation of Ventricular Tachycardia -- Preparation -- Anesthesia Preparation,clinical_guideline,"Electrophysiology Study and Ablation of Ventricular Tachycardia -- Preparation -- Anesthesia Preparation. Neuromuscular blocking agents are often used in EP procedures to minimize muscle movement during the procedure, allowing for accurate recording of electrical signals and better manipulation of catheters. However, these agents are best avoided when the planned ablation site is close to the phrenic nerve, as in patients with nonischemic cardiomyopathy undergoing epicardial VT ablation. Thus, strategies to identify and safeguard the phrenic nerve are crucial. [22] Patients with preexisting neuromuscular disorders may be more susceptible to complications from neuromuscular blockade, requiring careful dose adjustments and monitoring. [23]"
StatPearls_52_0,StatPearls,Back Safety -- Enhancing Healthcare Team Outcomes,clinical_guideline,"Back Safety -- Enhancing Healthcare Team Outcomes. Work-related back pain has a multifactorial etiology with numerous risk factors. LBP is very costly and leads to marked inefficiency in the delivery of healthcare. In the majority of patients, investigations are not needed unless there are red flags. Bed rest must be discouraged and early return to work should be recommended. There should also be an early referral for psychosocial support in the presence of yellow flags. Ergonomic workplace adaptations are mandatory. Low back pain has a multifactorial etiology and administration of the health facility should take an active role in reducing workplace stress and hostility."
StatPearls_53_0,StatPearls,Intraoperative and Anesthesia Awareness -- Issues of Concern -- Patient-Related Risk Factors,clinical_guideline,"Intraoperative and Anesthesia Awareness -- Issues of Concern -- Patient-Related Risk Factors. Chronic substance abuse may contribute to acquired resistance to anesthetics. Long-term use of commonly abused substances, including alcohol, opioids, and benzodiazepines, may increase anesthetic requirements, increasing the risk of AAGA. [17] Acute intoxication with the same substances may result in CNS depression, lowering anesthetic requirements. These counterbalancing effects must be considered when assessing the risk for AAGA. An extensive list of medications not typically associated with abuse and dependence may also raise anesthetic requirements by inducing cytochrome P450 3A. [18] Commonly encountered examples include barbiturates, phenytoin, carbamazepine, and glucocorticoids."
StatPearls_54_0,StatPearls,Atazanavir -- Administration -- Pediatric Dosage,clinical_guideline,"Atazanavir -- Administration -- Pediatric Dosage. HIV infection: The recommended dosages of atazanavir for oral powder and capsule formulations for HIV infection are listed below. Oral powder formulation: For individuals aged 3 months and older, with a body weight between 5 and 14.9 kg, the recommended daily dosage of atazanavir is 200 mg powder orally with 80 mg of ritonavir orally. For individuals aged 3 months and older, with a body weight between 15 and 24.9 kg, the recommended daily dosage of atazanavir is 250 mg powder orally with 80 mg of ritonavir orally. For individuals aged 3 months and older, with a body weight of more than 25 kg, the recommended daily dosage of atazanavir is 300 mg powder orally with 100 mg of ritonavir orally."
StatPearls_55_0,StatPearls,Chondrosarcoma -- Evaluation -- Magnetic resonance imaging:,clinical_guideline,"Chondrosarcoma -- Evaluation -- Magnetic resonance imaging:. In typical forms, MRI demonstrates a lobulated lesion with a high-signal intensity on T2 and a low or intermediate signal on T1-weighted images [7] [6] ."
